,Adjusted net national income (current US$),Consumer price index (2010 = 100),Control of Corruption: Estimate,"Current account balance (BoP, current US$)","Exports of goods, services and primary income (BoP, current US$)",External balance on goods and services (current US$),GDP growth (annual %),General government final consumption expenditure (% of GDP),General government final consumption expenditure (current US$),Government Effectiveness: Estimate,"Government expenditure on education, total (% of GDP)",Gross national expenditure (current US$),Gross value added at basic prices (GVA) (current US$),"Imports of goods, services and primary income (BoP, current US$)","Industry (including construction), value added (annual % growth)","Inflation, consumer prices (annual %)","Manufacturing, value added (annual % growth)",Merchandise exports to high-income economies (% of total merchandise exports),Merchandise imports from high-income economies (% of total merchandise imports),"Net capital account (BoP, current US$)","Net financial account (BoP, current US$)","Net primary income (BoP, current US$)","Net secondary income (BoP, current US$)",Political Stability and Absence of Violence/Terrorism: Estimate,Population growth (annual %),"Primary income payments (BoP, current US$)","Primary income receipts (BoP, current US$)",Unemployment with advanced education (% of total labor force with advanced education),Unemployment with basic education (% of total labor force with basic education),Unemployment with intermediate education (% of total labor force with intermediate education),"Unemployment, total (% of total labor force) (national estimate)",Voice and Accountability: Estimate,Classes
0,12449979123.8861,119.049258384382,-0.563899636268616,-1218856026.94155,5292424070.628724,-2105530494.2475948,2.08771199649604,11.34698393056003,1747642735.6722913,-0.0621441006660461,3.91623997688293,17613493374.237774,13463704706.727167,7597487229.141689,0.915144131825258,1.41109078954246,5.596976142398361,78.09977034810944,65.2176702049546,85062453.3468605,-1018802164.17964,-201645349.128785,1086229439.63392,0.110049679875374,-0.426007367032238,671672557.084949,470038444.956164,12.296,8.687,14.259,11.466,0.141880303621292,2
1,42988475833.8169,379.599042199862,-1.05841791629791,5137394880.2235,35872743552.791336,16839664243.750963,-0.7022729576160174,8.598856283898918,6096413921.870549,-1.12856233119965,2.07306432723999,54058296131.35105,69691017355.0339,30508228605.27101,-3.478000340233649,17.0797044074953,-5.058760176122149,24.00783876633541,61.923758714383325,2045190.0,4488228407.1028,-7516299279.66577,-227120067.296773,-0.370094686746597,3.39527779197097,8208899954.13351,692600674.467736,18.604,15.03,30.351,16.497,-0.793237388134003,3
2,370477828048.014,166.8348470393972,-0.106940247118473,-3492479581.08422,86292608863.22926,14413857778.031073,-2.000861002857846,16.443241586297617,73625384340.81392,-0.120677568018436,4.77759981155396,433340825837.1935,375734331600.6441,90634223384.2654,-4.740755305539096,5.2503776384447525,-6.156550489876778,36.6820732028922,40.10920507794351,283947300.397874,-5119265557.22344,-17732164561.9186,849134939.951964,-0.0978643074631691,0.993397493293046,24060290895.7252,6328126333.80665,3.874,12.303,11.232,9.843,0.571178674697876,3
3,2842228351.01809,109.534355432857,1.17470288276672,84796821.7557428,2651804815.035237,38223463.68715084,-2.30283684401374,22.49855226964636,764005586.5921787,0.98783677816391,5.49105978012085,3357575418.9944134,3046950279.329609,2488068336.293074,1.9503969800607641,4.25746204335428,1.890445125042134,65.66373813125537,85.3422845550906,1524499.29140261,84221603.0888698,-157927754.757847,-78939656.9864215,1.33566856384277,0.451969658863314,248040850.247764,90113095.4899169,6.6822276422764215,8.354619834710745,8.06694262295082,8.9,1.26255750656128,2
4,1067378884842.85,119.797086368366,1.78817307949066,5127893870.6791,389612229990.5231,34512723062.14593,2.181109106109602,20.34289517866795,283716525927.09674,1.53876042366028,5.13429021835327,1360158602898.422,1302762319510.173,384022372931.0899,1.1231132891582405,1.61076787290379,-0.9989096972806522,46.43491280532993,53.35020430525875,-554094269.010961,3771396461.83194,-40706739855.8767,-460550555.238665,0.917313098907471,1.47749071058438,88320396973.7939,47613683968.5351,2.168,13.229,5.41,5.159,1.26963520050049,1
5,361524412024.267,118.057980056249,1.521409034729,10635667872.7,280077577707.2475,16134639072.705856,1.45052918393192,19.460482648763044,86520557765.33319,1.49224412441254,5.21750020980835,428440168393.6464,397315530545.019,265607468407.1395,0.4708217481662871,1.53089564152644,0.8375810418236824,87.43708003022331,86.75337569794,-76440546.9967512,16467353289.8265,-1276328366.85606,-3833322249.72938,0.892080426216125,0.444673639004876,33615787141.7745,32339458774.9185,3.066,10.715,3.997,4.56,1.33687436580658,1
6,36650198911.4157,156.891564325,-0.849424362182617,4193353386.00028,25226117931.1637,5917294117.647059,2.500000067437341,11.123470930275154,5358647058.823529,-0.12810717523098,3.1764600276947,42845176470.58824,43843352941.17648,21541382188.070534,0.8771811194234544,2.61057182799215,10.399998205668725,63.98504460379982,42.33021602892754,-18620000.0,5008074730.48852,-2061013783.63323,508617642.907164,-0.693412125110626,0.846646726414021,3650482783.63323,1589469000.0,4.65,10.04,4.6,5.0,-1.52881360054016,2
7,11709113685.7282,116.218911182281,1.10244631767273,-345480921.341999,5197101268.337501,-173200000.0,-0.7436618827843375,12.520388706379654,1635000000.0,0.445289075374603,2.7009744644165,13089200000.0,11531900000.0,5475951630.3294935,2.3913602468500983,2.49123527368046,8.365608055770707,73.77752959621611,88.98426322806813,907806000.0,374587470.329001,-603071634.850004,-66630559.3500019,0.801466107368469,0.657441084996389,636336037.660004,33264402.81,7.24,5.87,8.06694262295082,10.0,0.904696941375732,2
8,28052942595.733,118.772111860491,-0.0380972623825073,-794414893.617024,32390957446.8085,4356648936.170213,2.166964668823695,15.689935952485872,6064680851.063829,0.245266824960709,2.38460445404053,34296702127.659573,37555583244.68085,30295212765.95744,2.264593489883879,1.00582004702137,1.5846432138955606,71.57653680378414,64.11019519968306,896276595.744681,-411436170.212766,-2260638297.87234,-2890159574.46809,-0.62683516740799,0.459362584678761,4591755319.14894,2331117021.2766,2.46,1.5,1.54,1.2,-1.42869198322296,2
9,360627233626.55,179.679821747048,-1.01699352264404,-2948537074.51494,45143332661.73448,-18926619071.95185,7.881906728613501,6.238188771485865,21910914367.904743,-0.753748297691345,1.68138802051544,369957090401.5791,336054894620.107,66963788016.44537,11.633323452290083,5.59199639930629,12.334506811081567,72.73591851005504,35.212680805130795,227998418.61995,-4714447597.14725,-2547849494.1269,18871918280.196,-0.928613364696503,1.1131724900167,2730142025.46887,182292531.341971,10.736,3.454,8.483,4.372,-0.741844892501831,2
